id,title,published_at,news_site,url
40012,Pikachu in the Cupola,2026-09-21 14:00:00,ESA,https://www.esa.int/ESA_Multimedia/Images/2026/09/Pikachu_in_the_Cupola
40010,ESA x TPCI - Pikachu in the Cupola,2026-09-21 14:00:00,ESA,https://www.esa.int/ESA_Multimedia/Images/2026/09/ESA_x_TPCI_-_Pikachu_in_the_Cupola
40014,DLR’s Suborbital MAPHEUS-17 Mission to Launch as Early as 1 October,2026-09-19 05:00:26,European Spaceflight,https://europeanspaceflight.com/dlrs-suborbital-mapheus-17-mission-to-launch-as-early-as-1-october/
40013,APOD: 2026 September 19 – A Zodiacal Night,2026-09-19 04:05:00,NASA,https://science.nasa.gov/image-article/apod-2026-september-19-a-zodiacal-night/
40011,ESA and The Pokémon Company International reveal Europe-wide exhibition and astronaut Pikachu experience,2026-09-18 22:01:00,ESA,https://www.esa.int/About_Us/Branding_and_Partnerships/ESA_and_The_Pokemon_Company_International_reveal_Europe-wide_exhibition_and_astronaut_Pikachu_experience
40009,"China progresses plans for Mars sample return, asteroid flyby and more launch sites",2026-09-18 21:58:14,NASASpaceflight,https://www.nasaspaceflight.com/2026/09/china-roundup-202609/
40008,NASA Invites Media to Albania Artemis Accords Signing Ceremony,2026-09-18 19:56:08,NASA,https://www.nasa.gov/news-release/nasa-invites-media-to-albania-artemis-accords-signing-ceremony/
40007,NASA-JAXA XRISM Mission Sees Pulsar Gathering Companion’s ‘Wind’,2026-09-18 18:02:53,NASA,https://science.nasa.gov/missions/xrism/xrism-sees-pulsar-gathering-companions-wind/
40006,"Paris, France",2026-09-18 16:13:00,ESA,https://www.esa.int/ESA_Multimedia/Images/2026/09/Paris_France
40005,NASA Awards SpaceX Three Crew Flights to Space Station,2026-09-18 16:02:31,NASA,https://www.nasa.gov/missions/station/commercial-crew/nasa-awards-spacex-three-crew-flights-to-space-station/
